player_id,stagione,nome,ruolo,ruolo_mantra,squadra,quotazione_attuale,quotazione_iniziale,diff_quotazione,fvm,ceduto,indice_finale,rank_ruolo,totale_ruolo,rank_generale,totale_generale,performance_score,reliability_score,forma_attuale_score,titolarita_score,presenze_pesate,fantamedia,media_voto,presenze_totali,presenza_pct,presenze_medie,gol_stagione,assist_stagione,gs_stagione,rigori_parati,varianza_voto,varianza_gol,ammonizioni,espulsioni,titolarita,is_titolare,infortunato,desc_infortunio,squalificato,rigorista_pos,punizioni_pos,updated_at
2077,2026-27,Pasalic,C,C;T,ATALANTA,8,9,-1,22,False,57.57,44.0,191.0,115.0,560.0,39.5,72.49,6.46,84.68,32.18,6.66,6.05,164,71.9,27.3,5.0,3.0,0.0,0.0,0.456,0.25,2.2,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
2765,2026-27,Odgaard,C,T,BOLOGNA,8,8,0,17,False,52.78,54.0,191.0,151.0,560.0,48.82,55.95,15.31,43.42,16.5,6.74,6.06,61,40.1,15.2,3.2,1.0,0.0,0.0,0.392,0.222,0.8,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4436,2026-27,Cambiaghi,C,W;A,BOLOGNA,8,8,0,25,False,62.01,33.0,191.0,94.0,560.0,54.08,69.24,27.89,60.66,23.05,6.46,6.12,105,55.3,21.0,2.2,1.8,0.0,0.0,0.355,0.211,2.0,0.4,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
1933,2026-27,Mandragora,C,C,TORINO,8,9,-1,23,False,63.08,30.0,191.0,82.0,560.0,52.34,78.71,4.08,77.5,29.45,6.39,6.05,139,61.0,23.2,2.7,2.5,0.0,0.0,0.291,0.239,5.0,0.2,titolare,True,False,,False,3.0,2.0,2026-09-09T13:29:56.628602+00:00
7472,2026-27,Calò,C,M;C,FROSINONE,8,7,1,27,False,17.85,165.0,191.0,445.0,560.0,0.0,0.0,35.71,0.0,0.0,6.75,6.25,2,5.3,2.0,0.0,1.0,0.0,0.0,1.125,0.0,0.0,0.0,titolare,True,False,,False,1.0,1.0,2026-09-09T13:29:56.628602+00:00
4856,2026-27,Chukwueze,C,E;W,MILAN,8,6,2,22,False,34.31,106.0,191.0,308.0,560.0,15.66,22.24,46.26,21.97,8.35,6.5,6.08,39,25.7,9.8,1.0,1.2,0.0,0.0,0.389,0.131,0.2,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
4287,2026-27,Lobotka,C,M;C,NAPOLI,8,7,1,23,False,67.37,21.0,191.0,52.0,560.0,53.55,84.91,35.71,85.37,32.44,6.14,6.11,161,70.6,26.8,0.5,0.5,0.0,0.0,0.223,0.075,2.3,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6717,2026-27,Konè I.,C,C,SASSUOLO,8,9,-1,20,False,54.31,50.0,191.0,139.0,560.0,56.47,53.66,0.0,32.24,12.25,6.63,6.19,35,92.1,35.0,6.0,0.0,0.0,0.0,0.428,0.146,3.0,1.0,panchina,False,True,"rottura di tibia e perone gamba sinistra, rientro da dicembre",False,,,2026-09-09T13:29:56.628602+00:00
7551,2026-27,Schmid,C,W;T,FROSINONE,8,8,0,25,False,16.45,168.0,191.0,456.0,560.0,0.0,0.0,15.31,0.0,0.0,5.5,5.75,2,5.3,2.0,0.0,0.0,0.0,0.0,1.125,0.0,1.0,0.0,titolare,True,False,,False,2.0,2.0,2026-09-09T13:29:56.628602+00:00
7618,2026-27,Hutchinson,C,W;A,MILAN,8,8,0,25,False,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
6833,2026-27,Mbangula,C,W;A,BOLOGNA,8,8,0,28,False,,,,,,,,,,,7.13,6.33,15,39.5,15.0,3.0,3.0,0.0,0.0,0.56,0.171,0.0,0.0,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
4364,2026-27,Gaetano,C,M;C,ATALANTA,7,7,0,30,False,61.27,36.0,191.0,100.0,560.0,51.42,66.38,15.31,57.66,21.91,6.48,6.06,83,36.4,13.8,1.7,1.5,0.0,0.0,0.295,0.199,1.0,0.2,,False,False,,False,,3.0,2026-09-09T13:29:56.628602+00:00
5422,2026-27,Zalewski,C,W,ATALANTA,7,6,1,18,False,52.19,56.0,191.0,158.0,560.0,32.13,59.49,35.71,65.47,24.88,6.13,5.97,119,52.2,19.8,0.8,1.7,0.0,0.0,0.254,0.12,1.8,0.2,panchina,False,False,,False,,,2026-09-09T13:29:56.628602+00:00
5858,2026-27,Ferguson,C,M;C,BOLOGNA,7,7,0,23,False,60.87,37.0,191.0,102.0,560.0,51.76,65.9,27.89,56.5,21.47,6.55,6.16,101,53.2,20.2,3.0,0.8,0.0,0.0,0.296,0.231,3.4,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
4870,2026-27,Adopo,C,M;C,CAGLIARI,7,6,1,13,False,35.17,105.0,191.0,298.0,560.0,11.84,44.02,27.89,60.74,23.08,5.91,5.85,82,43.2,16.4,0.4,0.8,0.0,0.0,0.202,0.051,1.6,0.2,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
7311,2026-27,Romano,C,M;C,CAGLIARI,7,5,2,21,False,16.61,167.0,191.0,454.0,560.0,0.0,0.0,41.16,0.0,0.0,8.0,6.5,2,5.3,2.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,titolare,True,False,,False,,3.0,2026-09-09T13:29:56.628602+00:00
4465,2026-27,Fagioli,C,M;C,FIORENTINA,7,8,-1,20,False,53.73,51.0,191.0,144.0,560.0,41.95,58.81,6.46,57.66,21.91,6.25,6.02,90,47.4,18.0,1.2,2.0,0.0,0.0,0.401,0.14,2.8,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
6294,2026-27,Ndour,C,C,FIORENTINA,7,8,-1,22,False,32.67,116.0,191.0,326.0,560.0,12.21,26.71,3.06,32.24,12.25,5.94,5.74,39,34.2,13.0,1.0,0.0,0.0,0.0,0.327,0.09,1.0,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
5791,2026-27,Frendrup,C,M;C,GENOA,7,7,0,19,False,59.73,40.0,191.0,106.0,560.0,43.76,74.03,27.89,77.76,29.55,6.11,6.04,120,63.2,24.0,1.0,0.8,0.0,0.0,0.229,0.097,3.4,0.0,titolare,True,False,,False,,,2026-09-09T13:29:56.628602+00:00
